"FullName","Length","LastWriteTime","Hash"
"D:\SwarmUI_Model_Downloader_v63\.gitignore","60","8/2/2025 1:17:05 PM","C5D82B686C8D081F1FBCDD37E1CCC602"
"D:\SwarmUI_Model_Downloader_v63\Amazing_SwarmUI_Presets_v9.json","413240","8/5/2025 6:21:07 PM","848A565242DCEAED43C765D1B2EB3831"
"D:\SwarmUI_Model_Downloader_v63\backup_index_2025-08-16_19-02-27.csv","0","8/16/2025 7:02:33 PM",
"D:\SwarmUI_Model_Downloader_v63\Best_Working_Params.txt","3575","8/2/2025 1:17:05 PM","E713C35D409BEB9AEB779298203AA6B2"
"D:\SwarmUI_Model_Downloader_v63\debug_model_keys.py","5441","8/2/2025 1:17:05 PM","60A778275E5F247E2E5D5DC9DB8B3D86"
"D:\SwarmUI_Model_Downloader_v63\debug_sizes.py","2738","8/2/2025 1:17:05 PM","1492DE3D187DA7D12A298C5AB1900753"
"D:\SwarmUI_Model_Downloader_v63\Downloader_Gradio_App.py","173498","8/8/2025 10:24:15 AM","22BB730E1B7226F0A028AC4F91C344EE"
"D:\SwarmUI_Model_Downloader_v63\fetch_model_sizes.py","13723","8/2/2025 1:17:05 PM","DBD87E2AB72B0660207ED3634CF3B932"
"D:\SwarmUI_Model_Downloader_v63\FLUX_Kontext_Prompts.txt","3396","8/2/2025 1:17:05 PM","943134D7492A43ACAFE2B2CF867AB628"
"D:\SwarmUI_Model_Downloader_v63\last_settings.json","157","8/10/2025 9:36:14 PM","29A6780A7F2A8A579311DC4F5522E33B"
"D:\SwarmUI_Model_Downloader_v63\Massed_Compute_Model_Download_Instructions.txt","1191","8/2/2025 1:17:05 PM","2458BA71E58E7BEADF22A58A15EA954B"
"D:\SwarmUI_Model_Downloader_v63\model_sizes.json","108536","8/5/2025 6:03:39 PM","CEA2AED7ECC5C2CAACF5041ACB4E5D97"
"D:\SwarmUI_Model_Downloader_v63\retry_failed_models.py","9194","8/2/2025 1:17:05 PM","AC3EF09BCD0D910AC1D0D2CD78201041"
"D:\SwarmUI_Model_Downloader_v63\RunPod_Model_Download_Instructions.txt","1202","8/2/2025 1:17:05 PM","91B7764DD15656CDBFA8332A723A58C5"
"D:\SwarmUI_Model_Downloader_v63\RunPod_SwarmUI_Install_Instructions.txt","1180","8/2/2025 1:17:05 PM","F79CB5B0B4B385AAA9D9E0DEA2A2B259"
"D:\SwarmUI_Model_Downloader_v63\setup_token.py","1068","8/2/2025 1:17:05 PM","99D8705AB706DCEA8AC3BB2FA0676934"
"D:\SwarmUI_Model_Downloader_v63\split_screenshots.py","6392","8/2/2025 1:17:05 PM","CEDEE44C62E4699976B5E64ABC628D06"
"D:\SwarmUI_Model_Downloader_v63\Tutorials_and_Links.txt","1667","8/2/2025 1:17:05 PM","7C2CC50A9E01B084975C988F872B43AC"
"D:\SwarmUI_Model_Downloader_v63\Video_Models_Prompt_Generate_Guide.txt","62385","8/2/2025 1:17:05 PM","1E1160C8EDDD281638E24E86740D0C92"
"D:\SwarmUI_Model_Downloader_v63\Windows_Install_SwarmUI.bat","968","8/2/2025 1:17:05 PM","CC64956330CF80BA9113BDF93336C834"
"D:\SwarmUI_Model_Downloader_v63\Windows_Start_Download_Models_App.bat","520","8/2/2025 1:17:05 PM","34C1474027019899B140A87682545A91"
"D:\SwarmUI_Model_Downloader_v63\Windows_Start_SwarmUI.bat","44","8/2/2025 1:17:05 PM","4ADF6226A31E52B253071E87EE237D32"
"D:\SwarmUI_Model_Downloader_v63\Windows_Update_SwarmUI.bat","107","8/2/2025 1:17:05 PM","6CD09C453989360596533C157E1E9619"
"D:\SwarmUI_Model_Downloader_v63\Config_Images\Best_New_Outpainting_Configs.jpg","601157","8/2/2025 1:17:05 PM","55BF7A0A92829B79A3D5494E604F0C60"
"D:\SwarmUI_Model_Downloader_v63\Config_Images\Fast_Hunyuan_Config.jpg","540882","8/2/2025 1:17:05 PM","98F921E0AB0AF7A7591B874CD91CD609"
"D:\SwarmUI_Model_Downloader_v63\Config_Images\Hunyuan_Detailed_Info.jpg","2162181","8/2/2025 1:17:05 PM","31D19D7B127259F39CB3A27FEC56FC8F"
"D:\SwarmUI_Model_Downloader_v63\Config_Images\Quality_Hunyuan_Config.jpg","419000","8/2/2025 1:17:05 PM","C682F539AC3672A44318C6E0C627324C"
"D:\SwarmUI_Model_Downloader_v63\older_versions\57.py","154404","8/2/2025 1:17:05 PM","6437E982B4CF396F805A803DA57914BB"
"D:\SwarmUI_Model_Downloader_v63\older_versions\59_2.py","167652","8/2/2025 1:17:05 PM","642A793DDA35F1A313F1AD49C8496B6C"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App_v_50.py","120721","8/2/2025 1:17:05 PM","622C05A4374CB3D5D0E9331793C1DB3D"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App_v_53.py","127438","8/2/2025 1:17:05 PM","7D83CC2A5FA81D6186BA7D2C4D86E54B"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App42.py","106989","8/2/2025 1:17:05 PM","3E85E0035EC28F9F092FE0607C86DE58"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App44.py","107987","8/2/2025 1:17:05 PM","DE9958AC5A52C3BF9226848E9F30893C"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App46.py","114585","8/2/2025 1:17:05 PM","0837BFEC9E33BB436BF405898975AF13"
"D:\SwarmUI_Model_Downloader_v63\older_versions\Downloader_Gradio_App54.py","134864","8/2/2025 1:17:05 PM","2F23DC4C88C86B27171321DCE3D75174"
"D:\SwarmUI_Model_Downloader_v63\older_versions\v60.py","169087","8/2/2025 1:17:05 PM","DD086101576F7A13BEBFE019253974AE"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\.dockerignore","157","8/10/2025 2:23:29 PM","94F735AD84454CFA21CD7A5C01909E3A"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\.gitattributes","108","8/10/2025 2:23:29 PM","9969C5EF5B5623F8EA109EEFD9A2D252"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\.gitignore","308","8/10/2025 2:23:29 PM","38BBF887540944A70E26D2CAE09A0279"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\CONTRIBUTING.md","3168","8/10/2025 2:23:29 PM","E950EC8FCD7B085250D4AF8A3C2571AC"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\launch-linux-dev.sh","789","8/10/2025 2:23:29 PM","C65D73C5C3BB839E8AD42C1AD796D8C5"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\launch-linux.sh","582","8/10/2025 2:23:29 PM","BCE5B7E1CBCF2E808A4156AD6F47191F"
"D:\SwarmUI_Model_Downloader_v63\SwarmUI\launch-macos.sh","756","8/10/2025 2:23:29 PM","764D1F25CBA8694ED722A1A69D069E01"
